,category,title,price,rating,No of reviews
2169,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Denim']",levi men 541 athletic fit short,36.1,4.5,388
2170,"['Toys & Games', 'Sports & Outdoor Play', 'Play Sets & Playground Equipment', ' Play Set Attachments']",sunnyglade 2pcs swings seats heavy duty 66 chain playground swing set accessories replacement snap hooks support 250lb,39.99,4.8,591
2171,"['Home & Kitchen', 'Seasonal Décor', 'Garlands']",recutms 2 pcs artificial autumn maple leaves garland 5.8 ft hanging fall vines plants colorful decor home wedding party door fireplace thanksgiving festival dinner,15.989999999999998,4.8,6
2172,"['Health & Household', 'Medical Supplies & Equipment', 'Braces, Splints & Supports', 'Thigh Supports']",mojo compression stockings 20-30mmhg thigh hi leg sleeve graduated support socks recovery calf quads black large a609bl3,11.21,4.0,132
2173,"['Health & Household', 'Medical Supplies & Equipment', 'Mobility & Daily Living Aids', ' Mobility Aids & Equipment']",stander handybar portable vehicle support grab bar standing assist mobility aid handle car emergency escape tool window breaker seat belt cutter,21.1,4.6,3168
2174,"['Clothing, Shoes & Jewelry', 'Women', 'Jewelry', 'Identification']",7.5 8.5 inches free engrave emergency medical bracelets men women alert id adults titanium steel,19.99,4.5,1262
2175,"['Baby', 'Feeding', 'Snack Foods']",sprout organic crispy chews toddler snacks orchard fruit carrot 0.63 ounce single serve packets 5 count pack 1 packaging may vary,4.0,4.4,275
2176,"['Automotive', 'Light & Lighting Accessories', 'Turn Signal & Fog Light Combos']",marsauto h11 led fog light bulb 5000 lm h8 h16 lamp cool white 5500 6500k pack 2,19.99,4.3,308
2177,"['Arts, Crafts & Sewing', 'Craft Supplies', 'Weaving Loom Tools & Accessories']",izhotta clips rainbow loom bands connectors refills kit 400pcs like c plastic chain links bracelet,5.33,5.0,2
2178,"['Grocery & Gourmet Food', 'Breads & Bakery', 'Brownies']",fiber one brownies chocolate fudge 40 ct. pack 2,53.95,4.5,9
2179,"['Automotive', 'Replacement Parts', 'Body & Trim', ' Body']",gooacc oem # n805155-s interior door panel clip nylon automotive clips rivet retainer fender bumper fasteners ford dodge 2919t qty 25,8.99,4.5,619
2180,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Dress & Trouser Socks']",easton marlowe mens dress socks 6 pack classic cotton men patterned,17.49,4.6,1762
2181,"['Grocery & Gourmet Food', 'Beverages', 'Bottled Beverages, Water & Drink Mixes', 'Lemonade']",crystal light lemonade drink mixes 6 pitcher packets,7.37,4.8,286
2182,"['Sports & Outdoors', 'Outdoor Recreation', 'Water Sports', 'Paddles']",ejoyous pair kayak paddles detachable boat oars lightweight ribbed blade paddleboard aluminum alloy kayaking boating 2 pieces,21.59,4.2,16
2183,"['Beauty & Personal Care', 'Tools & Accessories', 'Compact & Travel Mirrors']",compact travel makeup magnifying mirror bellejiu small portable folding handheld easy carry black,5.49,4.7,143
2184,"['Grocery & Gourmet Food', 'Dairy, Cheese & Eggs', ' Butter & Margarine']",ghee clarified butter 16 oz,13.99,4.6,865
2185,"['Sports & Outdoors', 'Sports & Fitness', 'Other Sports', 'Dance', 'Clothing', 'Skirts']",newchao ballet chiffon wrap skirts dance women girls white black,14.49,4.0,49
2186,"['Automotive', 'Replacement Parts', 'Engine Cooling & Climate Control', 'Spacers']",derale 31550 fan spacer,124.99000000000001,5.0,1
2187,"['Tools & Home Improvement', 'Kitchen & Bath Fixtures', 'Bathroom Fixtures', 'Bidets']",manual bidet hot cold spray frontal feminine wash 2 nozzles requires power features adjustable nozzle better hygiene,31.99,4.4,20
