,category,frequency,avg_rating,avg_price,avg_num_reviews
90,Lighting & Ceiling Fans,55,4.396363636363636,48.874363636363626,1196.2727272727273
91,Nursery,55,4.412727272727271,44.97645454545453,779.8909090909091
92,Hydraulics,54,4.305555555555555,46.40166666666666,80.05555555555556
93,Pneumatics & Plumbing,54,4.305555555555555,46.40166666666666,80.05555555555556
94,Kitchen & Bath Fixtures,54,4.496296296296297,113.41203703703701,632.574074074074
95,Plus-Size,54,4.096296296296296,34.929722222222225,389.98148148148147
96,Skates,52,4.517307692307693,55.145384615384614,226.55769230769232
97,Fasteners,52,4.5903846153846155,17.70173076923077,131.46153846153845
98,Skateboards & Scooters,51,4.507843137254902,52.912941176470575,230.98039215686273
99,Material Handling Products,50,4.460000000000001,102.387,145.56
100,Computer Accessories & Peripherals,50,4.4719999999999995,17.8744,10376.42
101,Remote & App Controlled Vehicles & Parts,49,4.353061224489796,23.29724489795918,110.61224489795919
102,Outdoor Clothing,48,4.308333333333334,49.51072916666667,279.2083333333333
103,Shooting,48,4.541666666666667,52.653020833333336,635.2708333333334
104,Audio & Video Accessories,48,4.422916666666667,25.11895833333334,1016.8541666666666
105,Parts & Accessories,47,4.465957446808511,53.139893617021265,325.7659574468085
106,Power Transmission Products,47,4.53191489361702,46.46999999999999,17.72340425531915
107,Spices & Seasonings,47,4.391489361702127,24.039893617021278,243.80851063829786
108,Baby Girls,47,4.504255319148936,20.44808510638298,424.8510638297872
109,Herbs,47,4.391489361702127,24.039893617021278,243.80851063829786
110,Safety & Security,47,4.334042553191489,62.01521276595744,765.5744680851063
111,Wheels & Tires,46,4.476086956521739,98.44880434782606,175.41304347826087
112,Boating & Sailing,46,4.541304347826086,64.46021739130433,105.21739130434783
113,Hair Care,45,4.4,15.935888888888892,2942.6222222222223
114,Airsoft & Paintball,45,4.051111111111111,33.89433333333334,176.17777777777778
115,Cell Phones & Accessories,44,4.3522727272727275,24.685454545454547,5235.409090909091
116,Painting,43,4.5813953488372094,21.446976744186045,380.4186046511628
117,Drawing & Art Supplies,43,4.5813953488372094,21.446976744186045,380.4186046511628
118,Food Service Equipment & Supplies,43,4.32093023255814,87.95825581395349,588.7441860465116
119,Canned,43,4.2372093023255815,33.399069767441866,440.3953488372093
120,Work & Safety,42,4.211904761904761,44.06321428571429,831.3333333333334
121,Body & Trim,42,4.392857142857143,46.880833333333335,188.4047619047619
122,Uniforms,42,4.230952380952381,43.0675,818.7380952380952
123,Golf,42,4.5095238095238095,86.53071428571428,327.54761904761904
124,Janitorial & Sanitation Supplies,41,4.446341463414634,56.41682926829267,957.2439024390244
125,Boating,41,4.54390243902439,58.46768292682927,104.7560975609756
126,Engine Parts,41,4.5634146341463415,51.73134146341462,37.41463414634146
127,Office Electronics,41,4.251219512195122,113.12451219512197,416.8536585365854
128,Patio Furniture & Accessories,41,4.419512195121951,123.18487804878049,426.8536585365854
129,Winter Sports,41,4.35609756097561,53.439146341463406,441.780487804878
130,Remote & App Controlled Vehicle Parts,40,4.3625,20.519875000000003,44.2
131,Heating,40,4.305,116.45,438.9
132,Fittings,40,4.334999999999999,29.515625,49.125
133,Guitar & Bass Accessories,40,4.5075,30.215375,309.275
134,Skin Care,39,4.48974358974359,18.01346153846154,2442.3333333333335
135,Lingerie,39,4.207692307692308,21.18423076923077,1650.7948717948718
136,Cooling & Air Quality,39,4.3128205128205135,118.76948717948719,448.53846153846155
137,Sleep & Lounge,39,4.282051282051281,22.684358974358975,1635.5641025641025
138,Switches & Relays,38,4.38421052631579,48.17473684210526,21.473684210526315
139,Bakeware,38,4.423684210526315,20.621184210526316,387.0263157894737
140,Raw Materials,37,4.7,39.82445945945946,38.513513513513516
141,Protective Gear,37,4.394594594594595,48.64432432432433,285.1621621621622
142,OTC Medications & Treatments,37,4.583783783783784,17.423243243243245,1150.5135135135135
143,Jarred & Packaged Foods,37,4.18108108108108,34.375,101.56756756756756
144,Interior Accessories,36,4.319444444444445,37.21097222222222,441.52777777777777
145,Shirts,36,4.313888888888888,30.16263888888889,635.1111111111111
146,Costumes & Accessories,36,4.252777777777778,19.678749999999997,344.3888888888889
147,Fuel System,36,4.316666666666666,54.68111111111111,43.55555555555556
148,Breads & Bakery,36,4.35,29.485138888888894,434.8611111111111
149,Engine Cooling & Climate Control,35,4.394285714285715,59.86085714285715,207.22857142857143
150,Bath,35,4.3514285714285705,27.937714285714282,1316.057142857143
151,Snack Foods,34,4.364705882352941,24.15529411764706,347.47058823529414
152,Shave & Hair Removal,34,4.323529411764706,25.176911764705885,1051.8529411764705
153,Baseball,34,4.314705882352941,63.030882352941155,262.47058823529414
154,Preschool,34,4.644117647058824,35.74985294117647,1800.3529411764705
155,Surf,33,4.381818181818182,69.17999999999999,689.6666666666666
156,Big & Tall,33,4.260606060606061,42.289393939393946,303.6363636363636
157,Personal Protective Equipment,33,4.281818181818182,68.00818181818181,639.9090909090909
158,Skate & Street,33,4.381818181818182,69.17999999999999,689.6666666666666
159,Outdoor Décor,32,4.340624999999999,64.11859375,307.21875
160,Small Appliances,32,4.04375,126.48546875,770.5625
161,Paint,32,4.309375,25.921875,497.53125
162,Shorts,32,4.384375,27.348750000000003,259.34375
